"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Infibeam Avenues Limited","31.07","68.51",,"0.42","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162850_540964_20102021052708_WEB.xml"
"The India Cements Limited","28.42","71.59",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162851_540985_20102021052942_WEB.xml"
"Dangee Dums Limited","64.45","35.55",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162852_540990_20102021053010_WEB.xml"
"STEEL EXCHANGE INDIA LIMITED","49.78","50.22",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162853_540999_20102021053141_WEB.xml"
"Ashok Leyland Limited","51.54","48.46",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Poddar Housing and Development Limited","61.02","38.98",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Bhartiya International Limited","57.36","42.64",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Uttam Sugar Mills Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Take Solutions Limited","53.41","46.59",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Satia Industries Limited","51.79","48.21",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"CEAT Limited","46.82","53.18",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Khadim India Limited","59.92","40.08",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Steel Authority of India Limited","65","35",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Godrej Agrovet Limited","71.64","28.36",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Easun Reyrolle Limited","36.03","63.97",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Kapston Facilities Management Limited","72.86","27.13",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Andhra Cements Limited","68.79","31.21",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"GE Power India Limited","68.58","31.42",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Zee Media Corporation Limited","8.52","91.48",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Magnum Ventures Limited","53.08","46.92",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Ansal Properties & Infrastructure Limited","48.77","51.23",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Dilip Buildcon Limited","70.15","29.85",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Den Networks Limited","74.9","25",,"0.1","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Bhandari Hosiery Exports Limited","24.95","75.05",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Banka BioLoo Limited","58.74","41.26",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Bajaj Finance Limited","56.03","43.79",,"0.17","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Sadbhav Engineering Limited","44.86","55.14",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Jain Irrigation Systems Limited","28.64","70.97",,"0.38","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Patel Integrated Logistics Limited","39.35","60.65",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Jain Irrigation Systems Limited","30.37","69.63",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Navin Fluorine International Limited","30.2","69.8",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"5Paisa Capital Limited","29.96","70.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"NHPC Limited","70.95","29.05",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Cigniti Technologies Limited","37.46","62.54",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Umang Dairies Limited","74.61","25.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"CRISIL Limited","66.92","33.08",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"KRBL Limited","59.46","40.54",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Sastasundar Ventures Limited","74.43","25.57",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"VA Tech Wabag Limited","21.7","78.3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Whirlpool of India Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"ICDS Limited","52.21","47.79",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Mahindra Lifespace Developers Limited","51.45","48.55",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"DEEP ENERGY RESOURCES LIMITED","63.99","36.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"Shriram Pistons & Rings Limited","47.31","52.69",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"IDFC First Bank Limited","36.52","63.48",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/-"
"PI Industries Limited","46.74","53.2",,"0.05","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162898_541596_20102021065002_WEB.xml"
"Astral Limited","55.73","44.27",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162899_541604_20102021065114_WEB.xml"
"Suvidhaa Infoserve Limited","39.56","60.44",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162900_541626_20102021065424_WEB.xml"
"Welspun Investments and Commercials Limited","74.58","25.42",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162901_541629_20102021065435_WEB.xml"
"Surani Steel Tubes Limited","33.97","66.03",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162902_541634_20102021065550_WEB.xml"
"Bil Energy Systems Limited","46.79","53.21",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162904_541654_20102021070311_WEB.xml"
"Digicontent Limited","69.78","29.93",,"0.28","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162905_541665_20102021070431_WEB.xml"
"Celebrity Fashions Limited","41.82","58.18",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162906_541732_20102021071853_WEB.xml"
"Coromandel International Limited","57.54","42.46",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162907_541742_20102021072058_WEB.xml"
"Maharashtra Scooters Limited","51","49",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162908_541748_20102021072154_WEB.xml"
"Palash Securities Limited","68.96","31.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162909_541751_20102021072216_WEB.xml"
"Sterling And Wilson Solar Limited","69.36","30.64",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162910_541765_20102021072450_WEB.xml"
"SIL Investments Limited","62.85","37.15",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162911_541776_20102021072553_WEB.xml"
"Texmo Pipes and Products Limited","44.24","55.76",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162912_541777_20102021072554_WEB.xml"
"Sutlej Textiles and Industries Limited","63.96","36.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162914_541791_20102021073329_WEB.xml"
"Karur Vysya Bank Limited","2.12","97.88",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162915_541793_20102021073429_WEB.xml"
"Bajaj Finserv Limited","60.8","39.07",,"0.13","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162916_541801_20102021073621_WEB.xml"
"Bajaj Holdings & Investment Limited","50.07","49.93",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162917_541805_20102021073736_WEB.xml"
"Man Industries (India) Limited","42.62","57.38",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162918_541824_20102021074112_WEB.xml"
"DCW Limited","46.76","53.24",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162919_541826_20102021074124_WEB.xml"
"Cera Sanitaryware Limited","54.48","45.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162920_541828_20102021074130_WEB.xml"
"Deep Industries Limited","63.99","36.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162921_541837_20102021074429_WEB.xml"
"Kabra Extrusion Technik Limited","59.46","40.54",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162922_541844_20102021074714_WEB.xml"
"Texmaco Rail & Engineering Limited","56.55","43.45",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162923_541850_20102021074945_WEB.xml"
"Bajaj Consumer Care Limited","38.04","61.96",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162924_541860_20102021075314_WEB.xml"
"Grasim Industries Limited","42.26","57.49",,"0.26","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162925_541870_20102021075708_WEB.xml"
"Glenmark Life Sciences Limited","82.84","17.16",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162926_541880_20102021080200_WEB.xml"
"Sheela Foam Limited","72.95","27.05",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162927_541892_20102021080747_WEB.xml"
"Britannia Industries Limited","50.55","49.45",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162928_541894_20102021080857_WEB.xml"
"Motilal Oswal Financial Services Limited","70.48","29.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162929_541898_20102021081010_WEB.xml"
"Honeywell Automation India Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162930_541907_20102021081505_WEB.xml"
"City Union Bank Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162931_541926_20102021082433_WEB.xml"
"Atlas Cycles (Haryana) Limited","42.12","57.88",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162932_541930_20102021082448_WEB.xml"
"Indo Tech Transformers Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162933_541933_20102021082600_WEB.xml"
"Career Point Limited","63.68","36.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162934_541945_20102021083554_WEB.xml"
"Stampede Capital Limited","18.68","81.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162936_541952_20102021084050_WEB.xml"
"Arihant Superstructures Limited","74.31","25.69",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162938_541959_20102021084348_WEB.xml"
"EID Parry India Limited","44.68","55.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162940_541987_20102021085837_WEB.xml"
"Aegis Logistics Limited","58.07","41.93",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162941_541989_20102021090027_WEB.xml"
"JSW Ispat Special Products Limited","53.17","46.83",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162942_541993_20102021090406_WEB.xml"
"JAKHARIA FABRIC LIMITED","67.38","32.62",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162943_541998_20102021090950_WEB.xml"
"United Spirits Limited","56.73","43.27",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162945_542019_20102021093417_WEB.xml"
"Stampede Capital Limited","35.2","64.8",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162946_542021_20102021093529_WEB.xml"
"Adani Ports and Special Economic Zone Limited","63.83","36.17",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162947_542024_20102021094050_WEB.xml"
"IndoStar Capital Finance Limited","88.16","11.84",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162948_542028_20102021094218_WEB.xml"
"Lyka Labs Limited","20","80",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162949_542035_20102021095906_WEB.xml"
"Majesco Limited","35.04","64.96",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162950_542041_20102021100821_WEB.xml"
"JK Cement Limited","57.62","42.38",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162951_542059_20102021103442_WEB.xml"
"Dr. Reddy's Laboratories Limited","26.72","72.99",,"0.29","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162952_542080_20102021105406_WEB.xml"
"Proseed India Limited","97","3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162954_542097_20102021111052_WEB.xml"
"The Federal Bank  Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162955_542111_20102021112340_WEB.xml"
"MMP Industries Limited","74.48","25.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162956_542120_20102021113004_WEB.xml"
"Tamilnadu PetroProducts Limited","34.54","65.46",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162957_542127_20102021113444_WEB.xml"
"InterGlobe Aviation Limited","74.79","25.21",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162958_542139_21102021123416_WEB.xml"
"Prime Securities Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162959_542155_21102021080119_WEB.xml"
"Cinevista Limited","67.61","32.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162960_542164_21102021085343_WEB.xml"
"Remsons Industries Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162961_542170_21102021091421_WEB.xml"
"Kernex Microsystems (India) Limited","22.34","77.66",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162963_542180_21102021094721_WEB.xml"
"Eurotex Industries and Exports Limited","70.99","29.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162964_542193_21102021095712_WEB.xml"
"Tara Chand Logistic Solutions Limited","74.65","25.36",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162965_542198_21102021095846_WEB.xml"
"Rudrabhishek Enterprises Limited","68.07","31.94",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162966_542213_21102021100841_WEB.xml"
"Asahi India Glass Limited","54.24","45.76",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162968_542248_21102021102910_WEB.xml"
"HCL Infosystems Limited","62.89","37.11",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162970_542250_21102021103122_WEB.xml"
"Spectrum Electrical Industries Limited","69.48","30.51",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162971_542264_21102021103834_WEB.xml"
"Sintex Plastics Technology Limited","12.22","87.78",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162973_542285_21102021105119_WEB.xml"
"Maheshwari Logistics Limited","57.4","41.94",,"0.65","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162975_542312_21102021110027_WEB.xml"
"DiGiSPICE Technologies Limited","73.97","26.03",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162977_542314_21102021110253_WEB.xml"
"KDDL Limited","46.87","53.13",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162978_542342_21102021111607_WEB.xml"
"AJR INFRA AND TOLLING LIMITED","20.6","79.41",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162980_542370_21102021112452_WEB.xml"
"Chambal Fertilizers & Chemicals Limited","60.39","39.52",,"0.09","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162981_542377_21102021112609_WEB.xml"
"Siemens Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162982_542383_21102021113028_WEB.xml"
"Tata Motors Limited","46.41","53.59",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162983_542389_21102021113314_WEB.xml"
"Sterling Biotech Limited","24.64","75.36",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162984_542393_21102021113424_WEB.xml"
"Ganges Securities Limited","64.02","35.98",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162986_542414_21102021114143_WEB.xml"
"Tata Motors Limited","7.67","92.33",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162987_542416_21102021114147_WEB.xml"
"Uttam Galva Steels Limited","16.25","83.75",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162988_542422_21102021114438_WEB.xml"
"Pulz Electronics Limited","73.37","26.63",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162989_542437_21102021115038_WEB.xml"
"M K Proteins Limited","74.82","25.18",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162991_542449_21102021115533_WEB.xml"
"Asahi Songwon Colors Limited","66.64","33.36",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162992_542452_21102021115541_WEB.xml"
"Expleo Solutions Limited","56.17","43.83",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162995_542485_21102021120507_WEB.xml"
"Glenmark Pharmaceuticals Limited","46.65","53.35",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162996_542489_21102021120514_WEB.xml"
"Narmada Agrobase Limited","68.91","31.09",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162997_542488_21102021120513_WEB.xml"
"Century Extrusions Limited","52.04","47.96",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162998_542493_21102021120550_WEB.xml"
"CMI Limited","26.99","73.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_162999_542501_21102021120755_WEB.xml"
"Sangam (India) Limited","61.45","38.55",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163002_542526_21102021121909_WEB.xml"
"Jagsonpal Pharmaceuticals Limited","70.34","29.66",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163003_542528_21102021121913_WEB.xml"
"Allied Digital Services Limited","49.99","50.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163005_542537_21102021122135_WEB.xml"
"Vinny Overseas Limited","71.81","28.19",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163007_542551_21102021122810_WEB.xml"
"Mangalam Timber Products Limited","42.45","57.55",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163008_542557_21102021122956_WEB.xml"
"Transwind Infrastructures Limited","55.81","44.19",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163009_542568_21102021123521_WEB.xml"
"Birla Tyres Limited","50.91","49.09",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163010_542569_21102021123523_WEB.xml"
"Shriram EPC Limited","28.76","71.24",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163011_542576_21102021123748_WEB.xml"
"Polycab India Limited","68.36","31.65",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163012_542585_21102021124126_WEB.xml"
"Redington (India) Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163013_542601_21102021124707_WEB.xml"
"Sanco Industries Limited","44.21","55.79",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163014_542611_21102021125039_WEB.xml"
"Texmaco Infrastructure & Holdings Limited","64.89","35.11",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163015_542621_21102021125231_WEB.xml"
"Asian Hotels (West) Limited","70.42","29.57",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163016_542626_21102021125417_WEB.xml"
"Shirpur Gold Refinery Limited","43.66","56.34",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163017_542632_21102021125507_WEB.xml"
"REC Limited","52.63","47.37",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163018_542636_21102021125549_WEB.xml"
"Salasar Exteriors and Contour Limited","71.33","28.67",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163019_542649_21102021125822_WEB.xml"
"Kaya Limited","59.93","40.07",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163021_542666_21102021010404_WEB.xml"
"Genesys International Corporation Limited","48.01","51.99",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163022_542670_21102021010428_WEB.xml"
"Tata Chemicals Limited","37.98","62.02",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163023_542678_21102021010607_WEB.xml"
"Nandan Denim Limited","64.73","35.27",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163024_542680_21102021010611_WEB.xml"
"Arvind Fashions Limited","36.96","63.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163025_542692_21102021011128_WEB.xml"
"Morepen Laboratories Limited","34.54","65.46",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163028_542703_21102021011812_WEB.xml"
"Rajesh Exports Limited","54.05","45.95",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163029_542707_21102021011858_WEB.xml"
"DCM Financial Services Limited","39.5","60.5",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163030_542715_21102021012307_WEB.xml"
"AMD Industries Limited","66.64","33.36",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163031_542734_21102021012844_WEB.xml"
"NRB Bearing Limited","49.82","50.18",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163032_542738_21102021012909_WEB.xml"
"The Byke Hospitality Ltd","46.86","53.14",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163033_542742_21102021012931_WEB.xml"
"PVR Limited","17.04","82.96",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163034_542744_21102021013139_WEB.xml"
"MSP Steel & Power Limited","41.62","58.38",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163035_542765_21102021013844_WEB.xml"
"Priti International Limited","73.23","26.77",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163036_542777_21102021014308_WEB.xml"
"Uravi T and Wedge Lamps Limited","72.73","27.28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163037_542783_21102021014429_WEB.xml"
"InfoBeans Technologies Limited","74.66","25.33",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163038_542796_21102021014739_WEB.xml"
"Archidply Decor Limited","72.96","27.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163040_542874_21102021023231_WEB.xml"
"Greenlam Industries Limited","53.9","46.1",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163041_542884_21102021023608_WEB.xml"
"Goenka Diamond and Jewels Limited","57.55","42.45",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163042_542892_21102021023924_WEB.xml"
"Mahindra & Mahindra Limited","19.46","76.47",,"4.07","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163043_542894_21102021023941_WEB.xml"
"Bharat Road Network Limited","53.76","46.24",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163044_542899_21102021024048_WEB.xml"
"Colgate Palmolive (India) Limited","51","49",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163045_542904_21102021024150_WEB.xml"
"Karda Constructions Limited","47.53","52.47",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163046_542908_21102021024719_WEB.xml"
"UPL Limited","27.96","72.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163048_542915_21102021025426_WEB.xml"
"Thyrocare Technologies Limited","71.22","28.78",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163049_542917_21102021025523_WEB.xml"
"Indian Terrain Fashions Limited","28.01","71.99",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163050_542932_21102021030037_WEB.xml"
"Tarapur Transformers Limited","44.63","55.37",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163051_542934_21102021030046_WEB.xml"
"Gufic Biosciences Limited","75.48","24.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163053_542957_21102021030755_WEB.xml"
"Integra Garments and Textiles Limited","39.61","60.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163054_542962_21102021030946_WEB.xml"
"Welspun Enterprises Limited","53.79","46.21",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163055_542964_21102021031023_WEB.xml"
"Southern Petrochemicals Industries Corporation  Limited","53.27","46.72",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163056_542968_21102021031039_WEB.xml"
"Walchandnagar Industries Limited","40.01","59.99",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163057_542970_21102021031219_WEB.xml"
"HBL Power Systems Limited","58.6","41.4",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163058_542979_21102021031505_WEB.xml"
"Omaxe Limited","74.14","25.86",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163059_543017_21102021032522_WEB.xml"
"Sreeleathers Limited","72.29","27.71",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163060_543019_21102021032527_WEB.xml"
"Petronet LNG Limited","50","50",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163062_543037_21102021032817_WEB.xml"
"Godrej Properties Limited","58.43","41.57",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163063_543048_21102021032956_WEB.xml"
"B.A.G Films and Media Limited","46.86","53.14",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163064_543055_21102021033242_WEB.xml"
"India Nippon Electricals Limited","66.39","33.61",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163065_543066_21102021033659_WEB.xml"
"Oriental Hotels Limited","67.58","32.41",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_163067_543110_21102021034643_WEB.xml"
